Date,Follower
2018-10-01,102
2018-10-02,103
2018-10-03,103
2018-10-04,104
2018-10-05,104
2018-10-06,104
2018-10-07,104
2018-10-08,104
2018-10-09,104
2018-10-10,104
2018-10-11,104
2018-10-12,104
2018-10-13,104
2018-10-14,104
2018-10-15,104
2018-10-16,104
2018-10-17,104
2018-10-18,104
2018-10-19,104
2018-10-20,104
2018-10-21,104
2018-10-22,104
2018-10-23,104
2018-10-24,104
2018-10-25,104
2018-10-26,104
2018-10-27,104
2018-10-28,104
2018-10-29,104
2018-10-30,104
2018-10-31,104
2018-11-01,104
2018-11-02,105
2018-11-03,105
2018-11-04,105
2018-11-05,105
2018-11-06,105
2018-11-07,105
2018-11-08,105
2018-11-09,105
2018-11-10,105
2018-11-11,105
2018-11-12,105
2018-11-13,105
2018-11-14,105
2018-11-15,105
2018-11-16,105
2018-11-17,105
2018-11-18,105
2018-11-19,105
2018-11-20,105
2018-11-21,105
2018-11-22,105
2018-11-23,106
2018-11-24,108
2018-11-25,108
2018-11-26,108
2018-11-27,108
2018-11-28,108
2018-11-29,108
2018-11-30,108
2018-12-01,108
2018-12-02,108
2018-12-03,108
2018-12-04,108
2018-12-05,108
2018-12-06,108
2018-12-07,108
2018-12-08,109
2018-12-09,109
2018-12-10,109
2018-12-11,109
2018-12-12,110
2018-12-13,110
2018-12-14,110
2018-12-15,110
2018-12-16,110
2018-12-17,110
2018-12-18,110
2018-12-19,110
2018-12-20,110
2018-12-21,112
2018-12-22,113
