Date,Following
2018-10-01,31
2018-10-02,31
2018-10-03,31
2018-10-04,31
2018-10-05,31
2018-10-06,31
2018-10-07,31
2018-10-08,31
2018-10-09,31
2018-10-10,31
2018-10-11,31
2018-10-12,31
2018-10-13,31
2018-10-14,31
2018-10-15,31
2018-10-16,31
2018-10-17,31
2018-10-18,31
2018-10-19,31
2018-10-20,31
2018-10-21,31
2018-10-22,31
2018-10-23,31
2018-10-24,31
2018-10-25,31
2018-10-26,31
2018-10-27,31
2018-10-28,31
2018-10-29,31
2018-10-30,31
2018-10-31,31
2018-11-01,31
2018-11-02,31
2018-11-03,31
2018-11-04,31
2018-11-05,31
2018-11-06,31
2018-11-07,31
2018-11-08,31
2018-11-09,31
2018-11-10,31
2018-11-11,31
2018-11-12,31
2018-11-13,31
2018-11-14,31
2018-11-15,31
2018-11-16,31
