Date, Num Users
2019-01-05,24057
2019-01-06,24074
2019-01-07,24088
2019-01-08,23883
2019-01-09,23691
2019-01-10,23716
2019-01-11,23743
2019-01-12,23757
2019-01-13,23766
2019-01-14,23779
2019-01-15,23802
2019-01-16,23578
2019-01-17,23603
2019-01-18,23631
2019-01-19,23643
2019-01-20,23647
2019-01-21,23664
2019-01-22,23688
2019-01-23,23246
2019-01-24,23271
2019-01-25,23288
2019-01-26,23306
2019-01-27,23068
2019-01-28,23090
2019-01-29,23113
2019-01-30,23135
2019-01-31,23153
2019-02-01,23170
2019-02-02,23185
2019-02-03,23194
2019-02-04,23213
2019-02-05,23228
2019-02-06,23250
2019-02-07,23282
2019-02-08,23292
2019-02-09,23297
2019-02-10,23315
2019-02-11,23338
2019-02-12,23371
2019-02-13,23399
2019-02-14,23416
2019-02-15,23444
2019-02-16,23458
2019-02-17,23471
2019-02-18,23500
2019-02-19,23531
2019-02-20,23551
2019-02-21,23574
2019-02-22,23583
2019-02-23,23604
2019-02-24,23615
2019-02-25,23638
2019-02-26,23662
2019-02-27,23687
2019-02-28,23485
2019-03-01,23509
2019-03-02,23528
2019-03-03,23538
2019-03-04,23554
2019-03-05,23580
2019-03-06,23598
2019-03-07,23623
2019-03-08,23657
2019-03-09,23667
2019-03-10,23681
2019-03-11,23699
2019-03-12,23716
2019-03-13,23743
2019-03-14,23990
2019-03-15,24009
2019-03-16,24017
2019-03-17,23810
2019-03-18,23832
2019-03-19,23608
2019-03-20,23397
2019-03-21,23431
2019-03-22,23233
2019-03-23,23243
2019-03-24,23254
2019-03-25,23272
2019-03-26,23294
2019-03-27,23313
2019-03-28,23343
2019-03-29,23367
2019-03-30,23389
2019-03-31,23403
2019-04-01,23211
2019-04-02,23230
2019-04-03,23032
2019-04-04,23052
2019-04-05,22645
2019-04-06,22660
2019-04-07,22671
2019-04-08,22687
2019-04-09,22523
2019-04-10,22546
2019-04-11,22411
2019-04-12,22446
2019-04-13,22469
2019-04-14,22491
2019-04-15,22523
2019-04-16,22539
2019-04-17,22515
2019-04-18,22528
2019-04-19,22541
2019-04-20,22770
2019-04-21,22799
2019-04-22,22812
2019-04-23,22658
2019-04-24,22690
2019-04-25,22715
2019-04-26,22736
2019-04-27,22748
2019-04-28,22583
2019-04-29,22600
2019-04-30,22403
2019-05-01,22421
2019-05-02,22449
2019-05-03,22468
2019-05-04,22479
2019-05-05,22497
2019-05-06,21710
2019-05-07,21551
2019-05-08,21571
2019-05-09,21596
2019-05-10,21442
2019-05-11,21462
2019-05-12,21482
2019-05-13,21325
2019-05-14,21150
2019-05-15,21171
2019-05-16,21199
2019-05-17,21218
2019-05-18,21233
2019-05-19,21239
2019-05-20,21090
2019-05-21,21275
2019-05-22,21296
2019-05-23,21328
2019-05-24,21355
2019-05-25,21374
2019-05-26,21384
2019-05-27,21405
2019-05-28,21609
2019-05-29,21637
2019-05-30,21730
2019-05-31,21558
2019-06-01,21575
2019-06-02,21584
2019-06-03,21423
2019-06-04,21444
2019-06-05,21261
2019-06-06,21297
2019-06-07,21316
2019-06-08,21323
2019-06-09,21342
2019-06-10,21359
2019-06-11,21379
2019-06-12,21405
2019-06-13,21245
2019-06-14,21262
2019-06-15,21282
2019-06-16,21119
2019-06-17,21126
2019-06-18,21152
2019-06-19,21005
2019-06-20,21016
2019-06-21,21038
2019-06-22,21046
2019-06-23,21053
2019-06-24,21068
2019-06-25,21087
2019-06-26,21118
2019-06-27,21130
2019-06-28,21152
2019-06-29,21163
2019-06-30,21170
2019-07-01,21183
2019-07-02,21204
2019-07-03,21043
2019-07-04,20897
2019-07-05,20916
2019-07-06,20926
2019-07-07,20929
2019-07-08,20938
2019-07-09,20774
2019-07-10,20794
2019-07-11,20636
2019-07-12,20654
2019-07-13,20671
2019-07-14,20686
2019-07-15,20700
2019-07-16,20722
2019-07-17,20559
2019-07-18,20404
2019-07-19,20425
2019-07-20,20448
2019-07-21,20457
2019-07-22,20482
2019-07-23,20485
2019-07-24,20521
2019-07-25,20374
2019-07-26,20394
2019-07-27,20403
2019-07-28,20414
2019-07-29,20424
2019-07-30,20281
2019-07-31,20304
2019-08-01,20150
2019-08-02,20168
2019-08-03,20177
2019-08-04,20189
2019-08-05,20200
2019-08-06,20215
2019-08-07,20086
2019-08-08,20098
2019-08-09,20112
2019-08-10,20129
2019-08-11,20253
2019-08-12,20269
2019-08-13,20262
2019-08-14,20172
2019-08-15,20182
2019-08-16,20195
2019-08-17,20055
2019-08-18,20066
2019-08-19,20086
2019-08-20,20107
2019-08-21,19953
2019-08-22,19964
2019-08-23,19988
2019-08-24,19996
2019-08-25,20003
2019-08-26,20009
2019-08-27,20016
2019-08-28,20031
2019-08-29,19900
2019-08-30,19762
2019-08-31,19752
2019-09-01,19765
2019-09-02,19781
2019-09-03,19795
2019-09-04,19803
2019-09-05,19818
2019-09-06,19833
2019-09-07,19711
2019-09-08,19727
2019-09-09,19740
2019-09-10,19751
2019-09-11,19721
2019-09-12,19734
2019-09-13,19751
2019-09-14,19766
2019-09-15,19768
2019-09-16,19785
2019-09-17,19544
2019-09-18,19559
2019-09-19,19579
2019-09-20,19598
2019-09-21,19611
2019-09-22,19623
2019-09-23,19468
2019-09-24,19486
2019-09-25,19502
2019-09-26,19516
2019-09-27,19535
2019-09-28,19543
2019-09-29,19556
2019-09-30,19569
2019-10-01,19581
2019-10-02,19748
2019-10-03,19607
2019-10-04,19615
2019-10-05,19628
2019-10-06,19632
2019-10-07,19638
2019-10-08,19661
2019-10-09,19675
2019-10-10,19709
2019-10-11,19721
2019-10-12,19728
2019-10-13,19738
2019-10-14,19753
2019-10-15,19766
2019-10-16,19661
2019-10-17,19797
2019-10-18,19819
2019-10-19,19561
2019-10-20,19577
2019-10-21,19595
2019-10-22,19584
2019-10-23,19597
2019-10-24,19489
2019-10-25,19241
2019-10-26,19250
2019-10-27,19263
2019-10-28,19124
2019-10-29,18999
2019-10-30,19015
2019-10-31,19041
2019-11-01,19060
2019-11-02,18932
2019-11-03,18941
2019-11-04,18955
2019-11-05,18833
2019-11-06,18859
2019-11-07,18872
2019-11-08,18887
2019-11-09,18891
2019-11-10,18902
2019-11-11,18911
2019-11-12,18922
2019-11-13,18939
2019-11-14,18949
2019-11-15,18964
2019-11-16,18978
2019-11-17,18985
2019-11-18,19002
2019-11-19,19019
2019-11-20,19026
2019-11-21,19044
2019-11-22,19055
2019-11-23,18923
2019-11-24,18940
2019-11-25,18830
2019-11-26,18843
2019-11-27,18999
2019-11-28,19140
2019-11-29,19147
2019-11-30,19156
2019-12-01,19033
2019-12-02,19048
2019-12-03,19173
2019-12-04,19178
2019-12-05,18953
2019-12-06,18965
2019-12-07,18973
2019-12-08,18982
2019-12-09,18991
2019-12-10,19010
2019-12-11,19025
2019-12-12,19036
2019-12-13,19049
2019-12-14,18925
